time[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],xf[ft],yf[ft],zf[ft],e0,ex,ey,ez
  3.700000000000e-01,  2.950329589007e+01,  0.000000000000e+00,  9.437358392596e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.408698805263e+01,  0.000000000000e+00, -1.981359139276e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.800000000000e-01,  2.916547172275e+01,  0.000000000000e+00,  9.649188260789e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.438032641909e+01,  0.000000000000e+00, -1.980404798866e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.900000000000e-01,  2.883410057777e+01,  0.000000000000e+00,  9.859461991740e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.467031899552e+01,  0.000000000000e+00, -1.979429353493e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.000000000000e-01,  2.850896344509e+01,  0.000000000000e+00,  1.006820465494e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.495702920914e+01,  0.000000000000e+00, -1.978432957502e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.100000000000e-01,  2.818985061418e+01,  0.000000000000e+00,  1.027543954330e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.524051834396e+01,  0.000000000000e+00, -1.977415762820e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.200000000000e-01,  2.787656121276e+01,  0.000000000000e+00,  1.048118826616e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.552084563146e+01,  0.000000000000e+00, -1.976377919130e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.300000000000e-01,  2.756890277366e+01,  0.000000000000e+00,  1.068547083755e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.579806833677e+01,  0.000000000000e+00, -1.975319574037e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.400000000000e-01,  2.726669082771e+01,  0.000000000000e+00,  1.088830576026e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.607224184065e+01,  0.000000000000e+00, -1.974240873216e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.500000000000e-01,  2.696974852095e+01,  0.000000000000e+00,  1.108971010586e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.634341971759e+01,  0.000000000000e+00, -1.973141960569e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.600000000000e-01,  2.667790625420e+01,  0.000000000000e+00,  1.128969959098e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.661165381007e+01,  0.000000000000e+00, -1.972022978356e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.700000000000e-01,  2.639100134374e+01,  0.000000000000e+00,  1.148828865023e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.687699429945e+01,  0.000000000000e+00, -1.970884067330e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.800000000000e-01,  2.610887770137e+01,  0.000000000000e+00,  1.168549050578e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.713948977347e+01,  0.000000000000e+00, -1.969725366865e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.900000000000e-01,  2.583138553259e+01,  0.000000000000e+00,  1.188131723404e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.739918729074e+01,  0.000000000000e+00, -1.968547015066e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.000000000000e-01,  2.555838105178e+01,  0.000000000000e+00,  1.207577982938e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.765613244215e+01,  0.000000000000e+00, -1.967349148888e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.100000000000e-01,  2.528972621306e+01,  0.000000000000e+00,  1.226888826535e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.791036940968e+01,  0.000000000000e+00, -1.966131904238e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.200000000000e-01,  2.502528845583e+01,  0.000000000000e+00,  1.246065155331e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.816194102250e+01,  0.000000000000e+00, -1.964895416072e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.300000000000e-01,  2.476494046407e+01,  0.000000000000e+00,  1.265107779874e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.841088881054e+01,  0.000000000000e+00, -1.963639818494e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.400000000000e-01,  2.450855993841e+01,  0.000000000000e+00,  1.284017425539e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.865725305589e+01,  0.000000000000e+00, -1.962365244838e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.500000000000e-01,  2.425602938020e+01,  0.000000000000e+00,  1.302794737721e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.890107284179e+01,  0.000000000000e+00, -1.961071827753e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.600000000000e-01,  2.400723588671e+01,  0.000000000000e+00,  1.321440286844e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.914238609967e+01,  0.000000000000e+00, -1.959759699283e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.700000000000e-01,  2.376207095682e+01,  0.000000000000e+00,  1.339954573172e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.938122965406e+01,  0.000000000000e+00, -1.958428990933e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.800000000000e-01,  2.352043030650e+01,  0.000000000000e+00,  1.358338031439e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.961763926575e+01,  0.000000000000e+00, -1.957079833745e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.900000000000e-01,  2.328221369346e+01,  0.000000000000e+00,  1.376591035314e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.985164967303e+01,  0.000000000000e+00, -1.955712358355e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.000000000000e-01,  2.304732475038e+01,  0.000000000000e+00,  1.394713901693e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.008329463126e+01,  0.000000000000e+00, -1.954326695053e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.100000000000e-01,  2.281567082620e+01,  0.000000000000e+00,  1.412706894840e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.031260695087e+01,  0.000000000000e+00, -1.952922973842e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.200000000000e-01,  2.258716283497e+01,  0.000000000000e+00,  1.430570230366e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.053961853369e+01,  0.000000000000e+00, -1.951501324482e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.300000000000e-01,  2.236171511182e+01,  0.000000000000e+00,  1.448304079072e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.076436040794e+01,  0.000000000000e+00, -1.950061876543e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.400000000000e-01,  2.213924527555e+01,  0.000000000000e+00,  1.465908570644e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.098686276172e+01,  0.000000000000e+00, -1.948604759443e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.500000000000e-01,  2.191967409754e+01,  0.000000000000e+00,  1.483383797208e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.120715497517e+01,  0.000000000000e+00, -1.947130102489e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
